Username,Rating,Komentar
nadhea12,4,"Kualitas:bagus

Lumayan bgt seprenya, ga kepoto soalnya udh mZuk londrian hehehe"
praditafebrian,1,"Baru kali ini sekecewa ini 😭💔 padahal bantal dan guling sy dirumah ukuran normal pd umumnya tiap beli spre di toko lain pun ukuran nya ini. Tp di toko ini bantal dan gulingnya gabisa masuk karna sarung bantal dan sarung gulingnya kekecilan, aku paksain masuk malah sobek si kain nya.. ini posisi paket baru bgt datang, blm sy cuci, langsung saya cobain. Bisa di cek bahwa saya Pesan tanggal 9 baru sampe tgl 15. Hari iini. 
💔💔💔💔💔"
5yr3c1d7as,1,"Warna:warna nya pas
Tekstur:barangnya kasar tidak sesuai
Kenyamanan:tidak byaman

Harga murah bhanya juga murah tidak sesuai yg kita pesan,, banyak harga murah tapi bahanya bagus,, menyesal sya beli di sini"
cottonboho,5,"Suka bgt, barang kosong yg warna hitam tp dibikin surat info product kosong gtu, jd bisa pengajuan pengembalian dana tanpa khawatirrrr… maaci loh akan ku nanti warna hitamnya klo udh ready sklian warna lain, ternyata cocok bahannys💗"
c*****o,5,"Warna:Sesuai
Tekstur:Lumayan
Kenyamanan:Lumayan

Recomended seller respon bagus produk sesuai pesanan dan iklannya packing baik pengiriman cepat"
ramandhany,5,"Penjualnya komunikatif kalau barang habis langsung gercep konfirmasi, barang dateng sesuai permintaan. Makasih"
aadeepee,5,"Warna:sesuai dengan gambar
Tekstur:lembut
Kenyamanan:baik

Alhamdulillah seller amanah dan pengiriman cepat, terima kasih banyak semoga tokonya selalu laris manis"
eli_erawati225,3,"Warna:blue
Tekstur:lemhut

Maaf barangnya ga ke photo sprei nya bgus halus nyaman buat tidur"
salfayul318,5,"Warna:coklat tua
Tekstur:lembut bgt
Kenyamanan:sejuk dipakai nggak panas

Maksih ya nggak kecewa pokoknya bli disini"
r42vrtnace,1,Toko penipu bayar 2 yg Dateng cuman 1 kapok beli di toko ini
maryagi,4,"Warna:lavender
Tekstur:halus
Kenyamanan:sejukk

Barang okee tidak ada riject sedikitpun, bahan alus adem lembut. +sarban dan sargul. Saya kira hanya sprei saja. Terimakasih"
w*****a,2,Di nota di kasih sarung bantal tapi di kirim tanpa sarung bantal :)
onlymebeb,1,"Kualitas:bahan nya bagus adem
Tampilan:pesen dua dikirim satu, minta refund aja susah bgt harus cecer adminnya karna slowrespon parahh!! kurang teliti dan amanah semoga toko ini bisa bertanggung jwb kedepannya"
s*****e,4,"Tekstur:lembut, tidak kaku
Warna:sesuai gambar
Kenyamanan:adem dipakai

Alhamdulillah paket mendarat dengan aman, barang realpict..toko amanah, barang sesuai dengan harganya.. mudah mudahan awet..."
allabib,5,"Tekstur:halus seperti sutra
Warna:abu awet muda
Kenyamanan:bikin pengennya nempel terus"
e*****m,5,"Warna:kurang cocok
Tekstur:oke
Kenyamanan:oke

Bagus dan adem. Terimakasih pengiriman yg cepat dan aman"
s*****6,1,"Kecewa berat.....!!!! ngirim ga sesuai warna di hubungi slow respon parah ini toko jangan sampai beli di toko ini lgi.....!!! 
Semoga ga ada korban lgi selain aku......!!!"
dimasadtyyy_,5,"Tekstur:sepadan dengan harga
Warna:hitam
Kenyamanan:nyaman untuk beristirahat"
nilnamuhib,5,"Tekstur:lembut
Warna:merah
Kenyamanan:iy

kurang dingin aja si"
ricos27,5,"Tekstur:senyaman itu
Warna:sesuai
Kenyamanan:belum dipakek

Alhamdulillah barang sampe 
Terima kasih servis sellernya bagus
Pengiriman lancar
Packing aman
Semoga bisa Awet"
a*****1,5,"Warna:sangat bagus dan sesuai
Tekstur:lembut
Kenyamanan:nyaman saat dipakai

udh reparborde kesekian kali bahan masih oke harga terjangkau makasi seller"
ncyfaisal,5,"Tekstur:tekstru bagus
Warna:sangat bagus dan srsuai gambar
Kenyamanan:sangat nyaman

Kulitas baik sepadan dengan harga lumayan buat ganti ganti sprei dirumah"
k*****a,1,"GAK AMANAH!!! kirim barang kurang, list barang sengaja dirobek. kalo kamu beli pastiin buat video unboxing. disuruh cek stok malah ribet, emang dasarnya mau nipu! aku gak iklas sih, semoga BAB nya lancar yaa!"
sherawhega,5,"Kualitas:baik
Tampilan:bagus

terima kasih paket seprei y udh sampe
terima utk abng kurir yg baik"
r*****h,2,"Performa:biasa
Tampilan:hitam
Kualitas:lumayan

Buat warna oke sesuai tapi ada yang bolong di tengahnya packingan nya sobek bahannya juga tipis bagusan toko sebelah"
ibnuarroyan26,5,"Warna:sesuai yang diharapkan
Tekstur:lembut
Kenyamanan:nyaman di pakai"
sastragusty610,5,"Tekstur:bagus
Warna:sesuai dengan yg di pesan
Kenyamanan:kain nya gac keras,, nyaman

Pengiriman cepat dan barang real picture"
achmad_b_,5,"Tampilan:ok
Performa:mantul
Kualitas:ok

Sesuai keinginan... mantap kak"
uciks_2502,5,"Tekstur:sangat lembut dan nyaman
Warna:warnanya bagus, sesuai gambar
Kenyamanan:spreinya dipakai nyaman

Spreinya sangat nyaman dipakai, lembut dan warna jg bagus banget, pengiriman cepat"
serunilasut25,5,nyaman banget bahan nya adeeeeeem bakal beli lagi sih ini sih oke bgt bahan nya mantep
ninikmursiati10,5,"Warna:sesuai pesanan
Tekstur:halus
Kenyamanan:blm dipasang semoga adem

Pembelian kedua kali, tapi blm dicoba semoga pas dicuci bahan tetap bagus tidak luntur thanks seller"
t*****n,5,"Pesanan sudah sampai
pengiriman cepet
harga terjangkau juga"
ayutingting713,4,"Tekstur:bagus dan oke
Kenyamanan:nyaman dipakai
Warna:sesuai dengan pesanan"
baguspondok,5,"Warna:lembut dan sesuai gambar
Tekstur:barang yang lembut dan tekstur
Kenyamanan:terasa sejuk saat di pakai

Oke deh"
z*****e,4,"Kami order warna abu tua di krim warna hitam tanpa adanya konfirmasi lewat wa, setelah di complain Minta kembalikan barang No respon, (⭐)
 untuk bahan okesih dgn harga sgitu."
zizii_88,4,"Warna:bagus, terang
Tekstur:bagua
Kenyamanan:lumayan bagus

Warna sprei terang bagus.., ini fotonya malam hari jadi cahaya agak gelap.., pelayanan seller baik. Hanya saja, saya pesan sprei ukuran 160 sesuai matras tapi pas spreinya dipasang sedikit tdk bs pas.."
alentinajesika02,5,"Warna:sesuai
Tekstur:lembut dan dingin
Kenyamanan:sejuk nyaman

Bakal beli lagi pokoknyaa bahannya adem bangett ini sudah di pake dan beneran adem"
dedenmulyana015,5,"Tekstur:mantap joss
Warna:sangat bagusss
Kenyamanan:nyaman bnget di pke tdr nya

Moal gagal pokok na josss lah ngeunah di pke sarena"
i*****l,5,"Warna:latte
Tekstur:halus
Kenyamanan:sangat nyaman"
dhiza468,5,"Kualitas:bagus
Performa:bahannya lembut dan afem d pakainya
Tampilan:wrn nya mebarik soft"
veearudam,5,"Kualitas:bagus
Performa:sesuai diskripsi
Tampilan:bahan tebal,lembut,adem

sangat puas belanja ditoko ini ..sy order lagi,tdk kecewa,sangat memuaskan...tokox amanah sekali..."
hamidah7755,5,"Warna:menarik
Tekstur:lembut dan nyaman
Kenyamanan:adem  dan halus

Paket saya sudah sampai dengan selamat mksih seller"
ninikmursiati10,5,"Warna:sesuai pesanan
Tekstur:halus lembut
Kenyamanan:blm dipasang, tapi kalo pegang dari bahan udah nyaman sih harusnya

Thanks seller bintang lima untukmu"
imunyesim_17,5,"Warna:sesuai dengan deskripsi
Tekstur:teksturnya cukup nyaman saat digunakan
Kenyamanan:nyaman untuk pemakaian sehari-hari

produk bagus dengan warna yang baik"
sisilialolly,5,"Tekstur:lembut
Warna:cantik bangettt
Kenyamanan:nyaman banget

Suka bangetttttttttttt warnanyaaaa bagussssss, makasi ya😍😍😍😍😍😍😍bakal jadi langganan ini si😘😘😘😘"
pondok_koha,1,"Warna:ya
Tekstur:halus tapi sangat tipis menerawang
Kenyamanan:belum di coba

Bahan terlalu tipis,UK.nya pas"
lisyanasidkin,5,"Kualitas:bagus
Performa:ademm pooll nyamaan
Tampilan:segerrrr diliatnya"
bunda_rina_herlina,5,
abifatah,4,"Warna:putih sesuai dengan gambar
Tekstur:halus nyaman
Kenyamanan:terasa nyaman

Produk diterima dengan baik. Pengemasan dan pengiriman aman."
r*****e,4,"Pengiriman super gercep, bahannya adem. Warnanya soft sesuai foto"
divaadeline,1,saya pesan coksu kok yang dateng warna moca
iwayandedepuspayoga,1,"produknya sih bagus"" aja, cuma yang jualan ini gatau niat atau engga, di paket isi lampiran bakal refund, bahkan sampe skrang belum di refund, produk sampe tanggal 22 dan skrang tanggal 5, niat ga sih ngab??"
zkpbvmz4zn,5,"Tekstur:lembut
Warna:lebih cerah dari di foto warna biru langit
Kenyamanan:sangat nyaman

Untuk harga segitu sangat wow,"
charelp,1,"Tampilan:pesannya 180x200 dtgnya 160x200
Kualitas:parah"
n*****h,5,"Warna:Bagus
Tekstur:lembut dan nyaman
Kenyamanan:sangat nyaman dipake

bahannya adem bgt🥰"
v*****a,5,"Tekstur:Bahan Lembut

Belom dicoba, lagi dicuci, sekilas pegang bahannya halus dan dingin. 👍"
sri_whyni05,5,"Warna:sesuai
Tekstur:lembut
Kenyamanan:nyaman

bagusss bgttttt warnanya juga cantik kayanyaa mau beli lagii ukuran lain"
andry9273,5,"Warna:sesuai
Tekstur:halus
Kenyamanan:baik

overall bagus sesuai harga akan lebih baik bila tali guling diperpanjag"
nonamitaaaa,5,"Tekstur:lembut adem
Warna:coklat
Kenyamanan:nyaman bgt

bagus , baru sampe udah lgsng di pake .makasih"
omangomang961,5,"Tekstur:lembut
Warna:sesuai gmbr
Kenyamanan:nyaman

Bakal trus langganan deh dsni puas bngt blanja d sni"
sindyatika_1234,5,"Warna:menarik ceria
Tekstur:barang dengan tekstur yang bagus
Kenyamanan:sangat nyaman dipakai

bagus bgtttt dan realpict"
ekaasyhptri05_,5,"Warna:sesuai dengan ekspektasi dan menarik
Tekstur:lembut, nyaman
Kenyamanan:dingin pas dipakai

terimakasih reseller kirain dengan harga segitu bahan agak kasar ternyata haluss+adem waktu tdr😍😍"
yhuliaayhuliaa,5,"Warna:sangat elegan
Tekstur:halus
Kenyamanan:puas

Bagus bnget sepray nya next bkal order lgi"
k*****i,5,"Tekstur:lembut
Warna:army n abu
Kenyamanan:sngat memuaskan dan barang yang datang sesuai"
aulia_isna0917,5,"Tekstur:lembut tebal dn nyaman
Warna:realpik,sesuai dgambar,aku suka.
Kenyamanan:bahan halus, lembut."
yolandasinaga1203,5,"Warna:sesuai
Tekstur:lembut
Kenyamanan:oke

Aku suka karna warnanha tidak norak dan berl3bihan"
r*****r,5,"Tampilan:seprei
Kualitas:baik
Performa:baik

Bagus, lembut, adem mudah-mudahan tidak berbulu kl sdh dicuci sekian kali. Terima kasih seller. Kl bagus pasti beli lagi."
vutvfv93vk,5,"Warna:manis
Tekstur:biasa
Kenyamanan:lumayan

Trimakasih .seprey nya bagus
Wort it"
okepcrew,3,"Tekstur:blm dibuka blm di cek
Kenyamanan:blm dipakai
Warna:okay

Pengiriman sgt cepat, smga kualitas bagus dan adem dipakai utk bobo ganteng"
naninurwani,5,"Warna:menarik dan ceria
Tekstur:sangat lembut dan nyaman
Kenyamanan:sangat nyaman saat di gunakan"
0oxj_zz0t8,5,"Warna yg dateng sesuai sama yg di gambar,, 
Bahan juga lembut banget,, 
🥰"
yoentiara,5,"Warna:sesuai ekspektasi dan menarik
Tekstur:sangat lembut dan nyaman

salah pilih ukuran harusnya yg ukuran 200..next order lagi"
nendenamanah,5,"Tekstur:lembut
Warna:sesuai
Kenyamanan:sangat nyaman

Pesen kemarin besok nya langsung datang gila cepat bangettt"
meyshumonggio306,5,"Warna:lembut dan sesuai wrna
Tekstur:sangat lembut dan nyaman
Kenyamanan:terasa sejuk saat d pkei"
ariskacahyaniariska195,5,"Warna:lembut sesuai warna
Tekstur:barang dengan tekstur yang halus
Kenyamanan:terasa sejuk di gunakan"
akagesha,5,"Warna:warna sesuai dengan varian yg dipilih, bagus juga
Tekstur:lumayan halus untuk harga dibawah 100rb
Kenyamanan:blm dicoba, semoga enak dipakai"
a*****n,5,"Tekstur:barang bertekstur halus lembut
Warna:menarik dan elegan
Kenyamanan:sangat memuaskan bangus hangat"
riccoprayoga_,5,"Warna:bagus
Tekstur:bagus
Kenyamanan:nyaman

Pesen yang abu tua yang dateng abu muda, hadeh"
us3jutn2sx,5,"Warna:sesuai gambar
Tekstur:lembut
Kenyamanan:sangat nyaman

Bagus kok gak usah diragukan lagi utk beli disini"
imeldasavira15,3,"Warna:pesennya warna abu datengnya warna coklat tua kecewa sih tapi gpp lah udah terlanjur di buka 🤭

Paketnya lama bgt datengnya 😔😔😔"
novycia_21,5,"Warna:lembut dan sedikit nerawag
Tekstur:bagus
Kenyamanan:memuaskan

Wort it guys untuk kalian pengen beli seprai dengan harga yg terjangkau"
t*****1,5,"Bhan adem, nyaman, harga terjangkau, respon seller juga oke.. trimakasih"
d*****o,5,"Performa:baik
Tampilan:keren
Kualitas:bagus

Sangat senanh dengan produknya"
hanhan_hanhan_hanhan,5,"Warna:cakep banget
Tekstur:adem
Kenyamanan:nyaman

Yg biru warnanya jauh lebih kalem bahannya lebih adem dr yg satu lagi tapi yg lime itu kan diganti Oren, tali guling nya lebih tebel, tp overall adem dan nyaman bgt. Pasti beli lagiiiii"
pujiah1807,5,"Warna:werna Bagus
Tekstur:lumayan
Kenyamanan:blom d coba

Knp sarung bantal nya cuma ada satu sma sarung guling"
muhammadnaufalfadhlurrah398,4,"Warna:abu tua
Tekstur:lembut
Kenyamanan:belum di coba

Lumyan sesuai dengan harga, cman blm di pasang, mau di cuci dulu"
yovadwidamayanthi,5,bagusss sesuai hargaa
aizaaaaaaaanab,5,"Warna:Cantik sesuai gambat
Tekstur:Lembut dan nyaman
Kenyamanan:Oke

Tapi apa yang mau diharapkan dari harga seprei segini, jahitannya tidak kokoh. Sudah ada yg lepas jahitannya ketika saya memasang tali guling"
deniramdanisimanjuntak,5,"Warna:sesuai pesnan
Tekstur:lembut
Kenyamanan:ga gerah

Cepet sampai paketnya bahan lembut ga gerah next order warna lain"
d*****p,5,"Sering beli produk ini, tidak mengecewakan, baik daei harga, kualitas, bahan nyaman dipakai, cocok buat sehari hari ataupun untyk olahraga, pas dapat harga murah"
sheillaamd,5,"Warna:sesuai sama yg aku mau
Tekstur:lembut
Kenyamanan:belum dipakai

Pengiriman juga cepet ,warna sama bahannya suka adem"
amywulansari1994,4,"Warna:lembut dan sesuai gambar
Tekstur:halus
Kenyamanan:nyaman

Untuk tali guling ini nggak ada aglet seperti tali sepatu, bagian ini bisa buat benang tali gulingnya lepas."
upitkap,4,bagus kainnya halus untuk harga segitu sangat worth it sih menurutku
d1kktyymus,4,"Lumayan,sesuai harga. Tidak bisa pasang tali sarung bantal nya. Tp Gpp lah👍"
marselafebrianti24,5,"Warna:coklat ,cantik
Tekstur:lembut ,halus
Kenyamanan:nyaman bangeet dengan harga segitu

Suka bgt sama seprei nyaa,nnti bakal co lgi deh, thankyou"
omangomang961,5,"Tekstur:lembut
Warna:bagus
Kenyamanan:nyaman

Barangnya SDH Dateng bgs kainnya adem bakal order LG deh"
risma.renindya,5,Buat yang kakinya gabisa diem atau yang suka usek usek seprei boleh banget ini wkwk bahannya lembuttt😂🤏🏻💗
fikiafach,3,"Warna:tidak sesuai.

Saya sudah order 2x, bahannya bagus tp sellernya salah ngirim warna terus."
rknovii02,5,"Tekstur:bahan nya bagus ga bikin gerah
Warna:warna sesuai

bahan nya bagus adem kalo gerah juga ga bikin panas"
ucinusi,5,"Warna:Biru Navy
Tekstur:Halus dan Lembut
Kenyamanan:Bahan Adem, ga panas, jahitan rapih"
keinya,5,"Warna:bagus sesuai pesenan
Tekstur:halus
Kenyamanan:oke

Worth it bgt, murah dan nyaman, warna jg oke  tinggal dicek luntur atau gak, moga2 nggak"
i*****a,5,"Warna:oke
Tekstur:oke
Kenyamanan:oke

bahannya lumayan adem worth it sama harga nya next beli warna lain dehh"
fitrijunuyanti,4,Barangnya sih oke tapi sarung bantalnya ada yang sobek😭
x_5zmxzu1r,4,"Tampilan:bagus
Performa:super lembut
Kualitas:oke

Suka dengan spreinya adem dan lembut, nanti baru pesan lagi di sini pokoknya"
urijo55vie,5,"Tekstur:halus
Warna:sesuai
Kenyamanan:sangat memuaskan

Bahan kainnya adem ,GK bikin gatel2 ,lembutt , pokoknya wajib beli disini"
s*****a,5,"dapet sprei dengan harga murah tapi kualitas tetap bagus, thank you"
medianadiana380,5,"Warna:biru metalik
Tekstur:halus dan nyaman di pakai
Kenyamanan:sejuk dan nyaman dipakai"
precillia_angelika,5,"Tekstur:halus
Warna:warna tidak segelap yg ada di foto
Kenyamanan:adw. dan nyaman digunakan"
wifi1122,5,"Tekstur:halus
Warna:sesuai
Kenyamanan:bagus

Ukurannya pas, bagus sih dengan harga segini"
ariereza,5,"Kualitas:oke
Tampilan:elegan
Performa:oke

Baru sampe.. makasih udh di ganti sama warna yg sesuai.. 
Belum ada foto.. sprei nya mau di cuci dulu."
annaherri,5,"Tekstur:sangat lembut dan adem bahannya
Warna:sesuai gambar
Kenyamanan:nyaman di pakai"
cutansa.bila,5,"Warna:menarik
Tekstur:halus
Kenyamanan:Nyaman

Hmm!"
jordhusein26,5,"Tekstur:Lembut
Warna:Oke banget
Kenyamanan:Lumayan enak lah

Oke banget sih sesuai sama harga nya."
p*****n,5,"Warna:coksu
Tekstur:lembut
Kenyamanan:tipe sprei yang dingin

Warnanya kalem suka. Bahannya lembut juga."
liviamc598,5,"Warna:sesuai dengan gambar
Tekstur:lembut dan halus
Kenyamanan:bahannya ga bikin panas

spreinya bagus banget, worth it sesuai dengan ekspektasi"
dedensofyan572,5,"Warna:sesuai
Tekstur:sangan lembut dan nyaman
Kenyamanan:nyaman dan enak di pake

Sangat puas🥰🥰"
unknow094,3,"Tekstur:bagus adem
Warna:sesuai cantik
Kenyamanan:sangat nyaman dan adem sekali di paka"
iputu00,3,"panjang dan lebar sudah pas, kurang di tinggi, tidak masuk full ke bawah"
darutm324,5,"Warna:sesuai
Tekstur:nyaman
Kenyamanan:sangat nyaman saat digunakan utk tidur.

Ukurannya sesuai dengan ukuran kasurnya. Pas mantabzz. Bahannya juga lumayan bagus. thanks"
geniushop,5,"Warna:bagus
Tekstur:halus
Kenyamanan:nggak panas

Sesuai pesanan,cuman banyak benang2 yg nempel tapi it’s okay bisa diilangin kok..
Semoga tambah sukses🥰"
andiniaidalutfi,5,
okysaputro14,5,Lebarnya kurang sedikit karna ngangkat dibawah ga tercover rapih
d*****u,5,"Baru dipake sprei nya, warna nya sesuai realpict.. Ngepas banget trnyata tp jadi bikin ga gampang geser"" sprei nya, mudah""an lama"" warna nya ga belel yak. Kalo ga belel next order warna lainnya 👍"
tonrsa,5,"Tekstur:baik
Warna:sesuai
Kenyamanan:lumayan

Dng harga sgtu wortit sih menurutku..cus pd beli ya bagus"
nyai.rachel,5,Kainnya lumayan bagus ya dg harga sgto
d*****8,3,"Pesen 2 dikirim 1 tanpa konfirmasi 
Kalo niat baik kirim lagi aja 1 lagi kalo memang warna pesanan tdk ada
Dana sudah masuk soalnya"
ajeengwidya,3,"Warna:sesuai
Tekstur:bahan oke

Tapi, kenapa ukuran yang 120x600 tidak pas di kasur yang ukuran nomor 3 merek Olimpic 😩"
k*****h,5,Kulitas bahan bagus dan nyaman
ervinnadeviyanta,5,"Warna:sage
Tekstur:oke
Kenyamanan:oke

Semoga awet dan cocok ya. Baru pertama kali beli. Terimakasih"
p*****7,5,"Tekstur:ok
Warna:ok
Kenyamanan:ok

Tambahkan 50 karakter untuk mendapatkan 25 koin shopee"
m*****h,5,"Warna:sangat bagus dan sesuai demgan gambar
Tekstur:sangat lembut dan nyaman
Kenyamanan:sangat nyaman saat dipakai

Bagus untuk dibeli, warna tidak norak"
arisyaadelia,5,Bagus warnanya Sukak Nex mau order lagi
zixi1p1_l7,4,Bagus kain nya lembut sesuai sama harganya 😘
wz9u6ogz_o,5,"Tampilan:Baguss
Kualitas:good
Performa:terbaik

terimkaashh puas bgt sama barang nya terimkasih juga bonus sarungg nya hihi🫶🏻"
0sf5j9ible,5,"Tekstur:sangat lembut dan nyaman
Warna:menarik dan ceria
Kenyamanan:produk sangat nyaman saat digunakan

Sesuai pesanan, bagus bngt tebbel🤩"
wantyaan,5,"Warna:abu
Tekstur:gak kasar
Kenyamanan:belum coba

Trms shoppe, penjual, brg sdh sampai.
Smoga enak dipake."
mardiahmardiah547,5,"Warna:sesuai
Tekstur:lembut
Kenyamanan:memuaskan

Jahitan rapi lembut sesuai warna, bagus bangat"
madjijeje27,4,"Tekstur:lembut
Warna:abu tua
Kenyamanan:nyaman

+ 
- pas banget sm ukuran kasur 

- 
Kotor"
andiresting,5,"Warna:Baik sesuai pesanan
Tekstur:Kainnya halus
Kenyamanan:Nyaman dipakai. Terima kasih Shopee"
edi_supri1958,5,"Warna:sesuai pesanan
Tekstur:lembut
Kenyamanan:belum dipakai

Barang kami terima dengan baik"
syarahafifah513,5,"Warna:bagus pekat, sesuai ekpestasi
Tekstur:sangat lembut
Kenyamanan:dan gak mudah berantakan,

Rekomended, maknyosss👍🏽"
m*****3,5,"Warna:bagus sesuai gambat
Tekstur:tekstur bagus
Kenyamanan:halus

alhamdulilah walau hujan hujan kurirnya baik sangat"
mozavin106,5,Kk semua barang yg DTG dari toko kk ak buat bintang 5 Krn pas kain nya jg lembut tp di respon donk kk yg pertama ada ke salahan UK JD ak mau balikan tukar UK nya ak tny krm alamat cet cs admin kk GK di gubris GK kepake kk UK nya salah mau ku retur tukar UK nya tolong respon yah kk
5gx3563spi,4,"Warna:sesuai gambar
Tekstur:lembut
Kenyamanan:biasa saja

Untuk sarung bantal dan guling ukurannya kekecilan sehingga bantal dan guling tidak bisa masuk"
seput_16,5,"Tekstur:cair
Warna:pink
Kenyamanan:wangii nya enakk

ternyata gede ya, kirain kecil, wanginya enak banget suka pokoknya, kalem dan ga nyengat , harum nyaman gitu"
s*****r,5,"Performa:baik
Tampilan:bagus
Kualitas:oke

Wajib beli. Udh bgus, murah lagi.
Baik adminya"
monikapertiwi,5,
windanda984,4,"Warna:mocca 180 × 200
Tekstur:lembut
Kenyamanan:baik

Jhitaya kurang rapi sih ,mau di jahit lagi tapi lumayan lah dg harga yg murah..."
a*****6,5,"Warna:sangat bagus
Tekstur:lembut
Kenyamanan:memuaskan

Kualitas sangat bagus, lembut dan puas dengan barangnya"
naennoannnc,5,"Warna:bagus
Tekstur:bagus
Kenyamanan:lembut

Sudah diterima dengan baik. Terimakasih banyak kak"
ritapandelaki,2,"Tekstur:lumayan
Warna:sesuai
Kenyamanan:lumayan

Panjangnya kurang hampir ngak bisa nutup di kasur springbad Ukuran 120x200"
ninikmursiati10,5,"Warna:sesuai pesanan
Tekstur:halus
Kenyamanan:adem

Pembelian yg ke 3x, thanks seller"
bam.prasetioo,5,"Warna:hitamnya halus
Tekstur:kainnya halus tapi bukan yg licin
Kenyamanan:oke lah"
jzr1q5adoy,5,"Warna:warna ngk sesuai gambar, ini warna yg ngk secerah yg digambar
Tekstur:sangat lembut dan nyaman
Kenyamanan:halus dan sejuk"
taufikfik398,5,"bagus saya sangat suka ,pas banget dikasur saya"
irajulianapintar,5,"Warna:cakep
Tekstur:agak tipis sesuai dg harga
Kenyamanan:nyaman"
k*****o,5,"Tekstur:lembut, kayanya enak dipakai, halus
Warna:baby blue
Kenyamanan:nyaman buat guling2 di kasur"
greenvary,5,"Tekstur:sangat lembut dan halus
Warna:item pekat
Kenyamanan:lom try krn lg di rendam pewangi

Makasi Seller,Sukses terus🙏🏼"
leardow,5,"Tampilan:baik
Performa:baik
Kualitas:bahan baik

Terima kasih gan sudah sampai orderan spreinya"
sendrayulian,1,"Kita pesan barang tiga yang datang cuman 2 tokohnya tida amanah menyesal beli disini pelayanannya tida bagus tidak ada konfirmasi,"
d*****2,3,"Tekstur:lumayan halus
Warna:bagus

Jahitan ga rapi,mudah sobek dan bahannya lumayan tebal"
desyimtinanm,5,"Kenyamanan:really recomended, seprei is soft material god quality but cheap"
tiahchaylvie,5,"Warna:warna nya cerah sesuai gambar
Tekstur:bahan nya lembut, halus, adem"
sittiharmina123,4,"Alhamdulillah bagus, pesan 3 yg dtng 2 tapi Alhamdulillah respon penjualnya baik. Dana brng yg TDK dikirim di transfer kembali. Terima kasih"
teti_rosmiati_sutrisno,4,"Tekstur:lumayan nyaman
Warna:sesuai gambar
Kenyamanan:lumayan nyaman, tp jahitan kurang rapi dan suka ada cacat,,dan di bagian sarung bantal nya agak sempit,,tolong di perbaiki lg kualitasnya biar makin okeee..."
i*****_,5,"Warna:coklat tua ganti mocca
Tekstur:halus
Kenyamanan:sangat nyaman

Stok habis dikirim beda warna tp gapapa warnanya masih suka terimakasih banyakk. bahan bagus."
syifaelrachmah,4,"Tekstur:halus, adem
Warna:beli warna coksu tapi ini bukan coksu sih menurut aku. agak pink dikit gituh
Kenyamanan:nyaman"
malinthonandreashutahaean,4,"Tekstur:sesuai harga
Warna:sesuai
Kenyamanan:bahannya nyaman digunakan

Bahannya nyaman lembut tidak kasar dengan harga segitu, tapi saya pesan ukuran 160x200 tapi tidak cukup pas dipakai di kasur yg ukuran 160x200, mohon diperhatikan ukuanya ya karena spreynya jadi ngak kepakai sesuai tujuan kegunaannya"
julieputri94,2,"Tekstur:kasar
Warna:sesuai
Kenyamanan:gerah dipakai

Kirain bahannya bakal halus,ternyata kresek2 panas dipakai ,tipis lagi,bahan2 yg gampang sobek"
as.dwiyanti,3,"Sebenernya bahannya bagus sii, cuman aku pesen warna coklat tua yang dateng malah warna abu"
glgiexlhk1,5,"Tekstur:lembut adem
Kenyamanan:sejuk n nyaman
Warna:oke

Sepreinya lembut n adem
Berkwalitas murah tapi tdk murahan
Pokoknya gk kan kecewa
Thanks"
reshenanirae,4,"Warna:putih cerah
Tekstur:halus
Kenyamanan:nyaman

Trimakasih pesanan seprai nya sudah sampe, bahan adem lembut, putih bersih. Tapi ada benang jahitan yg tidak dirapikan. Harusnya benang bekas jahitan itu digunting dulu biar lebih rapi. Ada bercak noda hitamnya sedikit. Tapi gak.apalah nanti dicuci aja. Moga moga mau hilang"
sriehapsari,5,"Kualitas:bagus
Tampilan:bagus
Performa:bagus

Wrna dan bahan sesuai ... thank you seller"
l*****i,5,"Warna:mocca
Tekstur:halus
Kenyamanan:nyaman

Bahan halus sangat nyaman dan bagus, next bakal order lagi"
ahzfe6su9d,3,"Warna:bagus gatau tapi kalau di cuci
Tekstur:aga lembut
Kenyamanan:rada tipis"
sintavivi357,5,"terimakasih, barang sudah diterima. pengemasan dan pengiriman cepat, kualitas barang sesuai harga, mantep pokoknya"
ikhsan2018,5,"Spreinya blum dipasang, smoga aja pas. Tp lumayan pngirimannya cepat"
a*****6,5,"Tekstur:baik
Warna:bagus
Kenyamanan:sejuk dan nyaman

Baranh bagus dan sejuk di pakai pokoknya mantap"
gopek96,1,"Udah konfirmasi jauh2 hari, minta 2 warna, nyatanya 1 warna, maaf adminnya tidak bisa di pegang omongan nya (Tidak Konsisten/tidak komitmen)"
t*****0,5,"Tampilan:baik sesuai gambar
Kualitas:bahan lembut
Performa:sangat baik

Bahannya adem dan lembut. Pengiriman juga cepat. Terima kasih seller!🥰"
n*****s,5,"Warna:bagus
Tekstur:lembut
Kenyamanan:sangat nyaman

Aku suka banget, warnanya kalem, bersih polos."
erikakaro,5,"Kenyamanan:lembut dan dingin

Bahannya lebih tipis ketimbang yg Embos, tpi sama2 lembut. Semoga tidak gampang koyak. Warnanya juga cantik. Aslinya tidak seperti yg di foto, Fotonya seperti itu efek cahaya"
asisahisah,5,"Kualitas:sangat sangat bagus sesuai nyaman lembut pas
Performa:kain nya tebal sangat bagus"
